"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 09:24:23 MSK 2024","Thu Jul 25 09:24:24 MSK 2024","369","","API tests Actors. Applications","","","","should do get list applications",""
"passed","Thu Jul 25 09:24:10 MSK 2024","Thu Jul 25 09:24:11 MSK 2024","282","","API tests Actors. Actors","","","","should do get list all types actors - user",""
"passed","Thu Jul 25 09:24:18 MSK 2024","Thu Jul 25 09:24:19 MSK 2024","282","","API tests Actors. ActorsInfo","","","","should do get requested actors",""
"passed","Thu Jul 25 09:24:24 MSK 2024","Thu Jul 25 09:24:24 MSK 2024","226","","API tests Actors. Applications","","","","should do get list applications to ID",""
"passed","Thu Jul 25 09:24:10 MSK 2024","Thu Jul 25 09:24:10 MSK 2024","769","","API tests Actors. Actors","","","","should do get list all types actors",""
"passed","Thu Jul 25 09:24:36 MSK 2024","Thu Jul 25 09:24:37 MSK 2024","340","","API tests Actors. Info","","","","should do get Actors info ",""
"passed","Thu Jul 25 09:24:30 MSK 2024","Thu Jul 25 09:24:30 MSK 2024","204","","API tests Actors. Groups Info","","","","should do get list group",""
"passed","Thu Jul 25 09:24:11 MSK 2024","Thu Jul 25 09:24:11 MSK 2024","218","","API tests Actors. Actors","","","","should do get list all types actors - group",""
"passed","Thu Jul 25 09:24:11 MSK 2024","Thu Jul 25 09:24:11 MSK 2024","279","","API tests Actors. Actors","","","","should do get list all types actors - application",""
"passed","Thu Jul 25 09:24:44 MSK 2024","Thu Jul 25 09:24:44 MSK 2024","189","","API tests Actors. Users Info","","","","should do get uses by userID ",""
"passed","Thu Jul 25 09:24:29 MSK 2024","Thu Jul 25 09:24:29 MSK 2024","358","","API tests Actors. Groups Info","","","","should do get list applications for group to groupID",""
"passed","Thu Jul 25 09:24:43 MSK 2024","Thu Jul 25 09:24:43 MSK 2024","192","","API tests Actors. Users Info","","","","should do get list users by filters ",""
"passed","Thu Jul 25 09:24:50 MSK 2024","Thu Jul 25 09:24:50 MSK 2024","255","","API tests Actors. Users Info","","","","should do validate",""
"passed","Thu Jul 25 09:24:29 MSK 2024","Thu Jul 25 09:24:30 MSK 2024","227","","API tests Actors. Groups Info","","","","should do get list users for group to groupID",""
"passed","Thu Jul 25 09:24:30 MSK 2024","Thu Jul 25 09:24:30 MSK 2024","253","","API tests Actors. Groups Info","","","","should do get group info to groupID",""
"passed","Thu Jul 25 09:24:43 MSK 2024","Thu Jul 25 09:24:43 MSK 2024","323","","API tests Actors. Users Info","","","","should do get current user info ",""
