"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 24 21:42:53 MSK 2024","Wed Jul 24 21:42:53 MSK 2024","440","","API tests Actors. Groups Info","","","","should do get list applications for group to groupID",""
"passed","Wed Jul 24 21:42:43 MSK 2024","Wed Jul 24 21:42:43 MSK 2024","406","","API tests Actors. Applications","","","","should do get list applications",""
"passed","Wed Jul 24 21:42:06 MSK 2024","Wed Jul 24 21:42:07 MSK 2024","313","","API tests Actors. Actors","","","","should do get list all types actors - user",""
"passed","Wed Jul 24 21:43:15 MSK 2024","Wed Jul 24 21:43:16 MSK 2024","273","","API tests Actors. Users Info","","","","should do get uses by userID ",""
"passed","Wed Jul 24 21:42:44 MSK 2024","Wed Jul 24 21:42:44 MSK 2024","324","","API tests Actors. Applications","","","","should do get list applications to ID",""
"broken","Wed Jul 24 21:03:22 MSK 2024","Wed Jul 24 21:03:22 MSK 2024","0","","02. actorsInfo.cy.js","","","","Oops...we found an error preparing this test file: 02. actorsInfo.cy.js",""
"passed","Wed Jul 24 21:42:07 MSK 2024","Wed Jul 24 21:42:07 MSK 2024","224","","API tests Actors. Actors","","","","should do get list all types actors - application",""
"broken","Wed Jul 24 20:59:44 MSK 2024","Wed Jul 24 20:59:44 MSK 2024","0","","02. actorsInfo.cy.js","","","","Oops...we found an error preparing this test file: 02. actorsInfo.cy.js",""
"passed","Wed Jul 24 21:42:54 MSK 2024","Wed Jul 24 21:42:54 MSK 2024","286","","API tests Actors. Groups Info","","","","should do get list group",""
"passed","Wed Jul 24 21:42:53 MSK 2024","Wed Jul 24 21:42:54 MSK 2024","316","","API tests Actors. Groups Info","","","","should do get list users for group to groupID",""
"broken","Wed Jul 24 20:59:15 MSK 2024","Wed Jul 24 20:59:15 MSK 2024","0","","01. actors.cy.js","","","","Oops...we found an error preparing this test file: 01. actors.cy.js",""
"broken","Wed Jul 24 21:00:13 MSK 2024","Wed Jul 24 21:00:13 MSK 2024","0","","07. validate.cy.js","","","","Oops...we found an error preparing this test file: 07. validate.cy.js",""
"passed","Wed Jul 24 21:43:05 MSK 2024","Wed Jul 24 21:43:05 MSK 2024","472","","API tests Actors. Info","","","","should do get Actors info ",""
"passed","Wed Jul 24 21:42:34 MSK 2024","Wed Jul 24 21:42:34 MSK 2024","458","","API tests Actors. ActorsInfo","","","","should do get requested actors",""
"passed","Wed Jul 24 21:42:54 MSK 2024","Wed Jul 24 21:42:54 MSK 2024","319","","API tests Actors. Groups Info","","","","should do get group info to groupID",""
"broken","Wed Jul 24 21:03:39 MSK 2024","Wed Jul 24 21:03:39 MSK 2024","0","","06. userInfo.cy.js","","","","Oops...we found an error preparing this test file: 06. userInfo.cy.js",""
"passed","Wed Jul 24 21:43:15 MSK 2024","Wed Jul 24 21:43:15 MSK 2024","247","","API tests Actors. Users Info","","","","should do get list users by filters ",""
"passed","Wed Jul 24 21:42:06 MSK 2024","Wed Jul 24 21:42:06 MSK 2024","792","","API tests Actors. Actors","","","","should do get list all types actors",""
"broken","Wed Jul 24 20:59:49 MSK 2024","Wed Jul 24 20:59:49 MSK 2024","0","","03. applications.cy.js","","","","Oops...we found an error preparing this test file: 03. applications.cy.js",""
"broken","Wed Jul 24 21:00:07 MSK 2024","Wed Jul 24 21:00:07 MSK 2024","0","","06. userInfo.cy.js","","","","Oops...we found an error preparing this test file: 06. userInfo.cy.js",""
"passed","Wed Jul 24 21:43:14 MSK 2024","Wed Jul 24 21:43:15 MSK 2024","493","","API tests Actors. Users Info","","","","should do get current user info ",""
"broken","Wed Jul 24 21:02:59 MSK 2024","Wed Jul 24 21:02:59 MSK 2024","0","","01. actors.cy.js","","","","Oops...we found an error preparing this test file: 01. actors.cy.js",""
"broken","Wed Jul 24 21:00:00 MSK 2024","Wed Jul 24 21:00:00 MSK 2024","0","","05. info.cy.js","","","","Oops...we found an error preparing this test file: 05. info.cy.js",""
"broken","Wed Jul 24 21:03:26 MSK 2024","Wed Jul 24 21:03:26 MSK 2024","0","","03. applications.cy.js","","","","Oops...we found an error preparing this test file: 03. applications.cy.js",""
"broken","Wed Jul 24 20:59:55 MSK 2024","Wed Jul 24 20:59:55 MSK 2024","0","","04. groupsInfo.cy.js","","","","Oops...we found an error preparing this test file: 04. groupsInfo.cy.js",""
"passed","Wed Jul 24 21:42:07 MSK 2024","Wed Jul 24 21:42:07 MSK 2024","329","","API tests Actors. Actors","","","","should do get list all types actors - group",""
"broken","Wed Jul 24 21:03:44 MSK 2024","Wed Jul 24 21:03:44 MSK 2024","0","","07. validate.cy.js","","","","Oops...we found an error preparing this test file: 07. validate.cy.js",""
"passed","Wed Jul 24 21:43:25 MSK 2024","Wed Jul 24 21:43:25 MSK 2024","297","","API tests Actors. Users Info","","","","should do validate",""
